,Name,Gender,Matches,Wins,Win Rate %,Age
0,CALDERANO Hugo (BRA),Male,965,739,76.58,28
1,SZOCS Bernadette (ROU),Female,1018,722,70.92,30
2,DIAZ Adriana (PUR),Female,986,710,72.01,24
3,MA Long (CHN),Male,765,669,87.45,36
4,OVTCHAROV Dimitrij (GER),Male,896,646,72.10,36
5,JORGIC Darko (SLO),Male,887,615,69.33,26
6,TAKAHASHI Bruna (BRA),Female,888,613,69.03,24
7,CHUANG Chih-Yuan (TPE),Male,949,611,64.38,43
8,DOO Hoi Kem (HKG),Female,892,603,67.60,28
9,ISHIKAWA Kasumi (JPN),Female,835,596,71.38,32
10,BOLL Timo (GER),Male,752,587,78.06,44
11,PLETEA Cristian (ROU),Male,823,587,71.32,24
12,DIACONU Adina (ROU),Female,789,584,74.02,25
13,ASSAR Omar (EGY),Male,818,583,71.27,33
14,FENG Tianwei (SGP),Female,800,573,71.63,38
15,SAMARA Elizabeta (ROU),Female,883,565,63.99,35
16,MESHREF Dina (EGY),Female,858,563,65.62,31
17,ITO Mima (JPN),Female,752,558,74.20,24
18,CHENG I-Ching (TPE),Female,903,554,61.35,33
19,ZAHARIA Elena (ROU),Female,671,524,78.09,20
20,CIFUENTES Horacio (ARG),Male,727,514,70.70,27
21,FREITAS Marcos (POR),Male,774,503,64.99,36
22,SIPOS Rares (ROU),Male,796,503,63.19,24
23,SAMSONOV Vladimir (AIN),Male,678,499,73.60,48
24,JHA Kanak (USA),Male,741,499,67.34,24
0,SOO Wai Yam (HKG),Female,749,498,66.49,26
1,KUMAHARA Luca (BRA),Female,719,489,68.01,29
2,POLANSKY Tomas (CZE),Male,761,487,63.99,26
3,MIZUTANI Jun (JPN),Male,693,486,70.13,35
4,FAN Zhendong (CHN),Male,548,486,88.69,28
5,AFANADOR Brian (PUR),Male,797,484,60.73,28
6,BALAZOVA Barbora (SVK),Female,809,482,59.58,33
7,ZHANG Lily (USA),Female,718,479,66.71,28
8,HIRANO Miu (JPN),Female,697,477,68.44,24
9,POTA Georgina (HUN),Female,791,472,59.67,40
10,KALLBERG Anton (SWE),Male,707,470,66.48,27
11,XU Xin (CHN),Male,548,468,85.40,35
12,GAUZY Simon (FRA),Male,745,466,62.55,30
13,LIU Shiwen (CHN),Female,544,462,84.93,33
14,YANG Ha Eun (KOR),Female,705,462,65.53,31
15,FENG Yi-Hsin (TPE),Male,655,459,70.08,22
16,LIN Yun-Ju (TPE),Male,628,457,72.77,23
17,LEVENKO Andreas (AUT),Male,784,456,58.16,26
18,KHANIN Aleksandr (AIN),Male,779,455,58.41,26
19,GODA Hana (EGY),Female,623,453,72.71,17
20,TENTI Fermin (ARG),Male,617,452,73.26,27
21,SZUDI Adam (HUN),Male,749,444,59.28,29
22,WANG Hao (CHN),Male,527,442,83.87,41
23,ZHANG Sofia-Xuan (ESP),Female,753,440,58.43,25
24,XIAO Maria (ESP),Female,704,439,62.36,30
0,DRAGOMAN Andreea (ROU),Female,628,438,69.75,24
1,DUDA Benedikt (GER),Male,668,436,65.27,30
2,LIAO Cheng-Ting (TPE),Male,669,436,65.17,29
3,APOLONIA Tiago (POR),Male,714,435,60.92,38
4,JANG Woojin (KOR),Male,607,434,71.50,29
5,GERALDO Joao (POR),Male,687,434,63.17,29
6,ALAMIYAN Noshad (IRI),Male,643,427,66.41,33
7,JAIN Payas (IND),Male,635,427,67.24,20
8,CHEN Szu-Yu (TPE),Female,711,426,59.92,31
9,YU Mengyu (SGP),Female,664,425,64.01,35
10,AKKUZU Can (FRA),Male,635,423,66.61,27
11,LEE Ho Ching (HKG),Female,714,422,59.10,32
12,JOUTI Eric (BRA),Male,675,422,62.52,30
13,MITTELHAM Nina (GER),Female,620,422,68.06,28
14,DING Ning (CHN),Female,495,421,85.05,34
15,FRANZISKA Patrick (GER),Male,632,420,66.46,32
16,BAJOR Natalia (POL),Female,698,419,60.03,28
17,PUCAR Tomislav (CRO),Male,684,419,61.26,29
18,ALLEGRO Martin (BEL),Male,778,418,53.73,28
19,QIU Dang (GER),Male,654,417,63.76,28
20,KATO Miyu (JPN),Female,600,417,69.50,25
21,UDA Yukiya (JPN),Male,597,416,69.68,23
22,ZHANG Mo (CAN),Female,616,414,67.21,36
23,HUNG Ka Tak (HKG),Male,587,413,70.36,27
24,NAGASAKI Miyu (JPN),Female,556,413,74.28,22
0,LAKATOS Tamas (HUN),Male,668,412,61.68,29
1,CHEN Chien-An (TPE),Male,708,410,57.91,33
2,FUKUHARA Ai (JPN),Female,620,410,66.13,36
3,BATRA Manika (IND),Female,675,410,60.74,29
4,CHEW Clarence (SGP),Male,715,409,57.20,29
5,HO Tin-Tin (ENG),Female,651,409,62.83,26
6,NOSKOVA Yana (AIN),Female,658,408,62.01,31
7,NUYTINCK Cedric (BEL),Male,706,408,57.79,32
8,RASSENFOSSE Adrien (BEL),Male,661,408,61.72,21
9,BERGSTROM Linda (SWE),Female,732,407,55.60,30
10,PITCHFORD Liam (ENG),Male,663,403,60.78,31
11,REITSPIES David (CZE),Male,600,403,67.17,28
12,CHEN Meng (CHN),Female,465,402,86.45,31
13,DRINKHALL Paul (ENG),Male,670,400,59.70,35
14,MA Lin (CHN),Male,478,399,83.47,45
15,AGUIRRE Marcelo (PAR),Male,610,399,65.41,32
16,MURAMATSU Yuto (JPN),Male,550,398,72.36,28
17,GROTH Jonathan (DEN),Male,654,397,60.70,32
18,GACINA Andrej (CRO),Male,687,396,57.64,38
19,POLCANOVA Sofia (AUT),Female,601,395,65.72,30
20,NIWA Koki (JPN),Male,612,395,64.54,30
21,ABDELAZIZ Youssef (EGY),Male,560,395,70.54,25
22,HARIMOTO Tomokazu (JPN),Male,550,395,71.82,21
23,WANG Amy (USA),Female,561,394,70.23,22
24,PAVADE Prithika (FRA),Female,567,394,69.49,20
0,KURMANGALIYEV Alan (KAZ),Male,559,394,70.48,18
1,JEGER Mateja (CRO),Female,630,390,61.90,30
2,ARUNA Quadri (NGR),Male,563,387,68.74,36
3,DYJAS Jakub (POL),Male,623,387,62.12,29
4,THAKKAR Manav (IND),Male,585,387,66.15,24
5,ARAPOVIC Hana (CRO),Female,597,386,64.66,20
6,LAM Siu Hang (HKG),Male,634,384,60.57,28
7,ZHU Yuling (MAC),Female,457,383,83.81,30
8,MUTTI Leonardo (ITA),Male,592,382,64.53,29
9,HAYATA Hina (JPN),Female,523,382,73.04,24
10,PISTEJ Lubomir (SVK),Male,661,381,57.64,41
11,ZARIF Audrey (FRA),Female,646,381,58.98,26
12,MOREGARD Truls (SWE),Male,533,381,71.48,23
13,ANDRAS Csaba (HUN),Male,598,381,63.71,22
14,GARDOS Robert (AUT),Male,668,379,56.74,46
15,TAILAKOVA Mariia (AIN),Female,550,378,68.73,24
16,CHIRITA Iulian (ROU),Male,527,377,71.54,19
17,OLAH Benedek (FIN),Male,580,376,64.83,34
18,GERASSIMENKO Kirill (KAZ),Male,589,376,63.84,28
19,SUN Yingsha (CHN),Female,423,376,88.89,24
20,SOLJA Petrissa (GER),Female,537,375,69.83,31
21,WAN Yuan (GER),Female,608,375,61.68,27
22,LEBESSON Emmanuel (FRA),Male,631,374,59.27,36
23,LI Xiaoxia (CHN),Female,445,374,84.04,37
24,KOLISH Anastasia (AIN),Female,557,374,67.15,24
0,ABRAAMIAN Elizabet (AIN),Female,530,373,70.38,21
1,ACHANTA Sharath (IND),Male,606,372,61.39,42
2,BALINT Bernadett (HUN),Female,561,372,66.31,29
3,KARLSSON Kristian (SWE),Male,634,371,58.52,33
4,DESAI Harmeet (IND),Male,634,371,58.52,31
5,MEI-ROSU Bianca (ROU),Female,501,370,73.85,18
6,WANG Chuqin (CHN),Male,435,368,84.60,24
7,KUKULKOVA Tatiana (SVK),Female,652,368,56.44,24
8,KULCZYCKI Samuel (POL),Male,568,367,64.61,22
9,CHEN Diogo (POR),Male,574,366,63.76,28
10,TSUBOI Gustavo (BRA),Male,576,365,63.37,39
11,BOBOCICA Mihai (ITA),Male,634,362,57.10,38
12,HABESOHN Daniel (AUT),Male,640,362,56.56,38
13,FALCK Mattias (SWE),Male,587,362,61.67,33
14,ZATOWKA Patryk (POL),Male,580,362,62.41,27
15,ISHIY Vitor (BRA),Male,556,362,65.11,29
16,KOLODZIEJCZYK Maciej (AUT),Male,591,362,61.25,24
17,LAMBIET Florent (BEL),Male,691,361,52.24,29
18,DODEAN Daniela (ROU),Female,586,360,61.43,37
19,MADRID Marcos (MEX),Male,582,360,61.86,38
20,OLIVARES Felipe (CHI),Male,585,360,61.54,33
21,GUSEVA Ekaterina (AIN),Female,589,360,61.12,29
